51,Dugtrio,1333,1214,1092,1042,934,843,627
52,Meowth,638,581,523,499,447,403,300
53,Persian,1539,1401,1260,1203,1079,973,723
54,Psyduck,966,879,791,755,677,611,454
55,Golduck,2270,2067,1859,1775,1591,1436,1067
56,Mankey,1002,912,821,784,702,634,471
57,Primeape,2105,1916,1724,1646,1476,1331,989
58,Growlithe,1110,1011,909,868,778,702,522
59,Arcanine,2839,2585,2325,2220,1990,1795,1334
60,Poliwag,695,633,569,543,487,440,327
61,Poliwhirl,1313,1195,1075,1027,920,830,617
62,Poliwrath,2441,2222,1999,1909,1711,1544,1147
63,Abra,1148,1045,940,898,805,726,540
64,Kadabra,1859,1692,1523,1454,1303,1176,874
65,Alakazam,2887,2628,2364,2258,2024,1826,1357
66,Machop,1199,1092,982,938,840,758,564
67,Machoke,1910,1739,1564,1494,1339,1208,898
68,Machamp,2889,2630,2366,2259,2025,1827,1358
69,Bellsprout,916,834,750,716,642,579,431
70,Weepinbell,1475,1343,1208,1153,1034,933,693
71,Victreebel,2268,2065,1857,1774,1590,1434,1066
72,Tentacool,956,870,783,748,670,605,449
73,Tentacruel,2374,2161,1944,1856,1664,1501,1116
74,Geodude,1193,1086,977,933,836,754,561
75,Graveler,1815,1652,1486,1419,1272,1148,853
76,Golem,2916,2655,2388,2280,2044,1844,1371
77,Ponyta,1502,1367,1230,1175,1053,950,706
78,Rapidash,2252,2050,1844,1761,1579,1424,1058
79,Slowpoke,1204,1096,986,942,844,761,566
80,Slowbro,2482,2260,2033,1941,1740,1570,1167
81,Magnemite,1083,986,887,847,759,685,509
82,Magneton,2237,2037,1832,1749,1568,1415,1051
83,Farfetch’d,1092,994,894,854,765,691,513
84,Doduo,1011,920,828,791,709,639,475
85,Dodrio,2138,1946,1751,1672,1499,1352,1005
86,Seel,899,818,736,703,630,569,423
87,Dewgong,1894,1724,1551,1481,1328,1198,890
88,Grimer,1269,1155,1039,992,890,803,596
89,Muk,2709,2466,2219,2118,1899,1713,1273
90,Shellder,958,872,785,749,672,606,450
91,Cloyster,2475,2253,2027,1935,1735,1565,1163
92,Gastly,1002,912,821,784,702,634,471
93,Haunter,1716,1562,1405,1342,1203,1085,807
94,Gengar,2619,2384,2145,2048,1836,1656,1231
95,Onix,1002,912,821,784,702,634,471
96,Drowzee,992,903,812,776,695,627,466
97,Hypno,2048,1864,1677,1602,1436,1295,963
98,Krabby,1386,1262,1135,1084,972,877,651
99,Kingler,2694,2453,2206,2107,1888,1704,1266
100,Voltorb,857,780,702,670,601,542,403
101,Electrode,1900,1730,1556,1486,1332,1202,893
102,Exeggcute,1102,1003,903,862,773,697,518
103,Exeggutor,2916,2655,2388,2280,2044,1844,1371
104,Cubone,943,859,772,737,661,596,443
105,Marowak,1691,1539,1385,1322,1185,1069,795
106,Hitmonlee,2406,2190,1971,1881,1687,1522,1131
107,Hitmonchan,2098,1910,1718,1641,1471,1327,986
108,Lickitung,1322,1204,1083,1034,927,836,621
109,Koffing,1091,993,894,853,765,690,513
110,Weezing,2183,1987,1788,1707,1530,1381,1026
111,Rhyhorn,1679,1529,1375,1313,1177,1062,789
112,Rhydon,3300,3004,2703,2581,2313,2087,1551
113,Chansey,1469,1337,1203,1149,1030,929,690
114,Tangela,2208,2010,1808,1727,1548,1396,1038
115,Kangaskhan,2463,2242,2017,1926,1727,1558,1158
116,Horsea,921,838,754,720,646,582,433
117,Seadra,1979,1802,1621,1548,1387,1252,930
118,Goldeen,1006,916,824,787,705,636,473
119,Seaking,2040,1857,1671,1595,1430,1290,959
120,Staryu,926,843,758,724,649,586,435
121,Starmie,2303,2097,1886,1801,1614,1456,1082
122,Mr. Mime,1984,1806,1625,1551,1391,1255,932
123,Scyther,2464,2243,2018,1927,1727,1558,1158
124,Jynx,2512,2287,2057,1964,1761,1589,1181
125,Electabuzz,2196,1999,1799,1717,1539,1389,1032
126,Magmar,2254,2052,1846,1763,1580,1425,1059
127,Pinsir,2770,2522,2269,2166,1942,1752,1302
128,Tauros,2488,2265,2038,1946,1744,1573,1169
129,Magikarp,220,200,180,172,154,139,103
130,Gyarados,3281,2987,2687,2566,2300,2075,1542
131,Lapras,2980,2713,2441,2330,2089,1885,1401
132,Ditto,718,654,588,561,503,454,337
133,Eevee,969,882,794,758,679,613,455
134,Vaporeon,3157,2874,2586,2469,2213,1996,1484
135,Jolteon,2730,2485,2236,2135,1914,1726,1283
136,Flareon,2904,2644,2378,2271,2036,1836,1365
137,Porygon,1567,1427,1283,1225,1098,991,736
138,Omanyte,1345,1224,1102,1052,943,851,632
139,Omastar,2685,2444,2199,2100,1882,1698,1262
140,Kabuto,1172,1067,960,917,822,741,551
141,Kabutops,2517,2291,2061,1968,1764,1592,1183
142,Aerodactyl,2608,2374,2136,2039,1828,1649,1226
143,Snorlax,3355,3054,2748,2624,2352,2122,1577
144,Articuno,2933,2670,2402,2294,2056,1855,1379
145,Zapdos,3330,3032,2727,2604,2334,2106,1565
146,Moltres,3272,2979,2680,2559,2294,2069,1538
147,Dratini,860,783,704,673,603,544,404
148,Dragonair,1609,1465,1318,1258,1128,1018,756
149,Dragonite,3581,3260,2933,2800,2510,2265,1683
150,Mewtwo,4760,4334,3898,3722,3337,3010,2237
151,Mew,3090,2813,2531,2416,2166,1954,1452
