Identifier,MaxCP,OldStamina,OldAttack,OldDefense,NewStamina,NewAttack,NewDefense
Slowpoke,1204,180,110,110,180,109,109
Slowbro,2482,190,184,198,190,177,194
Magnemite,1083,50,128,138,50,165,128
Magneton,2237,100,186,180,100,223,182
Farfetch’d,1092,104,138,132,104,124,118
Doduo,1011,70,126,96,70,158,88
Dodrio,2138,120,182,150,120,218,145
Seel,899,130,104,138,130,85,128
Dewgong,1894,180,156,192,180,139,184
Grimer,1269,160,124,110,160,135,90
Muk,2709,210,180,188,210,190,184
Shellder,958,60,120,112,60,116,168
Cloyster,2475,100,196,196,100,186,323
Gastly,1002,60,136,82,60,186,70
Haunter,1716,90,172,118,90,223,112
Gengar,2619,120,204,156,120,261,156
Onix,1002,70,90,186,70,85,288
Drowzee,992,120,104,140,120,89,158
Hypno,2048,170,162,196,170,144,215
Krabby,1386,60,116,110,60,181,156
Kingler,2694,110,178,168,110,240,214
Voltorb,857,80,102,124,80,109,114
Electrode,1900,120,150,174,120,173,179
Exeggcute,1102,120,110,132,120,107,140
Exeggutor,2916,190,232,164,190,233,158
Cubone,943,100,102,150,100,90,165
Marowak,1691,120,140,202,120,144,200
Hitmonlee,2406,100,148,172,100,224,211
Hitmonchan,2098,100,138,204,100,193,212
Lickitung,1322,180,126,160,180,108,137
Koffing,1091,80,136,142,80,119,164
Weezing,2183,130,190,198,130,174,221
Rhyhorn,1679,160,110,116,160,140,157
Rhydon,3300,210,166,160,210,222,206
Chansey,1469,500,40,60,500,60,176
Tangela,2208,130,164,152,130,183,205
Kangaskhan,2463,210,142,178,210,181,165
Horsea,921,60,122,100,60,129,125
Seadra,1979,110,176,150,110,187,182
Goldeen,1006,90,112,126,90,123,115
Seaking,2040,160,172,160,160,175,154
Staryu,926,60,130,128,60,137,112
Starmie,2303,120,194,192,120,210,184
Mr. Mime,1984,80,154,196,80,192,233
Scyther,2464,140,176,180,140,218,170
Jynx,2512,130,172,134,130,223,182
Electabuzz,2196,130,198,160,130,198,173
Magmar,2254,130,214,158,130,206,169
Pinsir,2770,130,184,186,130,238,197
Tauros,2488,150,148,184,150,198,197
Magikarp,220,40,42,84,40,29,102
Gyarados,3281,190,192,196,190,237,197
Lapras,2980,260,186,190,260,186,190
Ditto,718,96,110,110,96,91,91
Eevee,969,110,114,128,110,104,121
Vaporeon,3157,260,186,168,260,205,177
Jolteon,2730,130,192,174,130,232,201
Flareon,2904,130,238,178,130,246,204
Porygon,1567,130,156,158,130,153,139
Omanyte,1345,70,132,160,70,155,174
Omastar,2685,140,180,202,140,207,227
Kabuto,1172,60,148,142,60,148,162
Kabutops,2517,120,190,190,120,220,203
Aerodactyl,2608,160,182,162,160,221,164
Snorlax,3355,320,180,180,320,190,190
Articuno,2933,180,198,242,180,192,249
Zapdos,3330,180,232,194,180,253,188
Moltres,3272,180,242,194,180,251,184
Dratini,860,82,128,110,82,119,94
Dragonair,1609,122,170,152,122,163,138
Dragonite,3581,182,250,212,182,263,201
Mewtwo,4760,212,284,202,212,330,200
Mew,3090,200,220,220,200,210,210
